Disease,Symptom,Medicine
Jaundice,Blurred Vision,Propranolol
Peptic Ulcer,Blurred Vision,Ibuprofen
Sinusitis,Swollen Lymph Nodes,Budesonide
Acne,Numbness,Terbinafine
Hypertension,Tremors,Sildenafil
Psoriasis,Abdominal Pain,Chloroquine
Eczema,Weight Loss,Rifampin
Migraine,Numbness,Ibuprofen
Urinary Tract Infection,Itching,Omeprazole
Urinary Tract Infection,Nausea,Omeprazole
Chronic Kidney Disease,Numbness,Cetirizine
COVID-19,Numbness,Adalimumab
Multiple Sclerosis,Swollen Lymph Nodes,Ciprofloxacin
COVID-19,Diarrhea,Terbinafine
Allergy,Numbness,Amoxicillin
Gastroenteritis,Muscle Weakness,Propranolol
Dengue,Night Sweats,Loperamide
Epilepsy,Swollen Lymph Nodes,Budesonide
Migraine,Dizziness,Amoxicillin
Ulcerative Colitis,Runny Nose,Adalimumab
Hepatitis,Itching,Isoniazid
Fungal Infection,Runny Nose,Isoniazid
Migraine,Swelling,Metformin
Migraine,Night Sweats,Aspirin
Common Cold,Joint Pain,Budesonide
Dengue,Muscle Weakness,Prednisone
Typhoid,Diarrhea,Loratadine
Psoriasis,Joint Pain,Isoniazid
Fungal Infection,Back Pain,Ciprofloxacin
Bronchitis,Red Eyes,Ranitidine
COVID-19,Vomiting,Calamine Lotion
Glaucoma,Vomiting,Azithromycin
Urinary Tract Infection,Shortness of breath,Loperamide
Allergy,Swollen Lymph Nodes,Cetirizine
Arthritis,Numbness,Rifampin
Hypertension,Shortness of breath,Omeprazole
Chickenpox,Tremors,Ciprofloxacin
Zika Virus,Skin Rash,Propranolol
Peptic Ulcer,Cough,Azithromycin
Asthma,Headache,Ranitidine
Chickenpox,Diarrhea,Propranolol
Malaria,Nausea,Cetirizine
Heart Disease,Blurred Vision,Ondansetron
Arthritis,Chest Pain,Ciprofloxacin
Chronic Kidney Disease,Swelling,Ranitidine
Migraine,Loss of Appetite,Propranolol
Vertigo,Runny Nose,Loperamide
Acne,Sore Throat,Prednisone
Fungal Infection,Numbness,Terbinafine
Bronchitis,Chest Pain,Rifampin
Malaria,Diarrhea,Aspirin
Arthritis,Headache,Losartan
Lung Cancer,Shortness of breath,Terbinafine
Migraine,Numbness,Losartan
Multiple Sclerosis,Runny Nose,Ibuprofen
Jaundice,Dizziness,Topiramate
COVID-19,Night Sweats,Ranitidine
Pneumonia,Abdominal Pain,Sildenafil
Malaria,Dizziness,Propranolol
Allergy,Blurred Vision,Isoniazid
Arthritis,Swelling,Ciprofloxacin
Fungal Infection,Red Eyes,Isoniazid
Urinary Tract Infection,Swollen Lymph Nodes,Glibenclamide
Dengue,Cough,Chloroquine
Influenza,Back Pain,Ranitidine
Psoriasis,Sore Throat,Hydrocortisone
Pneumonia,Loss of Appetite,Hydrocortisone
Pneumonia,Shortness of breath,Glibenclamide
Migraine,Swollen Lymph Nodes,Topiramate
Sinusitis,Back Pain,Rifampin
Typhoid,Abdominal Pain,Ranitidine
Hepatitis,Fatigue,Aspirin
Peptic Ulcer,Vomiting,Ciprofloxacin
Lung Cancer,Numbness,Azithromycin
Allergy,Numbness,Loratadine
Bronchitis,Runny Nose,Ciprofloxacin
Vertigo,Chest Pain,Budesonide
Whooping Cough,Red Eyes,Ciprofloxacin
Fungal Infection,Loss of Appetite,Budesonide
Influenza,Diarrhea,Ciprofloxacin
Multiple Sclerosis,Swelling,Calamine Lotion
Arthritis,Vomiting,Azithromycin
Dengue,Swollen Lymph Nodes,Glibenclamide
Heart Disease,Swelling,Ranitidine
Osteoporosis,Nausea,Ciprofloxacin
Malaria,Fatigue,Azithromycin
Diabetes,Swelling,Prednisone
Tuberculosis,Blurred Vision,Loperamide
Hepatitis,Abdominal Pain,Prednisone
Migraine,Muscle Weakness,Sumatriptan
Dengue,Abdominal Pain,Losartan
Sinusitis,Numbness,Ibuprofen
Psoriasis,Headache,Doxycycline
Peptic Ulcer,Sore Throat,Terbinafine
Hypertension,Cough,Chloroquine
Gastroenteritis,Skin Rash,Levothyroxine
Multiple Sclerosis,Numbness,Losartan
Multiple Sclerosis,Fatigue,Aspirin
Vertigo,Fatigue,Levothyroxine
Migraine,Fatigue,Hydrocortisone
Sinusitis,Shortness of breath,Azithromycin
Tuberculosis,Cough,Paracetamol
Pneumonia,Rapid Heartbeat,Calamine Lotion
Tuberculosis,Night Sweats,Sildenafil
Bronchitis,Rapid Heartbeat,Metformin
Urinary Tract Infection,Shortness of breath,Terbinafine
Multiple Sclerosis,Fever,Prednisone
Diabetes,Sore Throat,Ibuprofen
Peptic Ulcer,Weight Loss,Prednisone
Allergy,Back Pain,Losartan
Glaucoma,Shortness of breath,Isoniazid
Psoriasis,Dizziness,Aspirin
Vertigo,Cough,Isoniazid
Allergy,Vomiting,Aspirin
Pneumonia,Itching,Ranitidine
COVID-19,Runny Nose,Rifampin
Typhoid,Shortness of breath,Levothyroxine
Zika Virus,Blurred Vision,Topiramate
Heart Disease,Chest Pain,Topiramate
Hypertension,Swelling,Doxycycline
Diabetes,Headache,Calamine Lotion
Malaria,Shortness of breath,Chloroquine
Asthma,Swelling,Omeprazole
Migraine,Runny Nose,Terbinafine
Hepatitis,Itching,Propranolol
Zika Virus,Fatigue,Aspirin
Typhoid,Fever,Ondansetron
Hypertension,Swollen Lymph Nodes,Adalimumab
Glaucoma,Dizziness,Losartan
Multiple Sclerosis,Vomiting,Aspirin
Psoriasis,Ear Pain,Isoniazid
Ulcerative Colitis,Ear Pain,Doxycycline
Migraine,Chest Pain,Ibuprofen
COVID-19,Abdominal Pain,Paracetamol
Dengue,Muscle Weakness,Topiramate
Hepatitis,Tremors,Ciprofloxacin
Ulcerative Colitis,Headache,Calamine Lotion
Arthritis,Fatigue,Propranolol
Malaria,Shortness of breath,Glibenclamide
Multiple Sclerosis,Shortness of breath,Sumatriptan
Migraine,Ear Pain,Rifampin
Allergy,Headache,Aspirin
Epilepsy,Joint Pain,Prednisone
Chronic Kidney Disease,Red Eyes,Azithromycin
Eczema,Joint Pain,Azithromycin
Diabetes,Shortness of breath,Budesonide
Eczema,Back Pain,Ranitidine
Eczema,Loss of Appetite,Omeprazole
Influenza,Vomiting,Ondansetron
Urinary Tract Infection,Cough,Doxycycline
Lung Cancer,Cough,Adalimumab
Typhoid,Diarrhea,Chloroquine
Pneumonia,Cough,Topiramate
Tuberculosis,Headache,Topiramate
Glaucoma,Skin Rash,Prednisone
Jaundice,Blurred Vision,Levothyroxine
Epilepsy,Weight Loss,Ondansetron
Whooping Cough,Red Eyes,Propranolol
COVID-19,Itching,Cetirizine
Sinusitis,Back Pain,Adalimumab
Peptic Ulcer,Blurred Vision,Losartan
Tuberculosis,Blurred Vision,Loratadine
Jaundice,Rapid Heartbeat,Rifampin
Chickenpox,Swelling,Cetirizine
Tuberculosis,Swollen Lymph Nodes,Sumatriptan
Jaundice,Joint Pain,Sildenafil
Whooping Cough,Night Sweats,Chloroquine
Diabetes,Tremors,Aspirin
Osteoporosis,Fatigue,Calamine Lotion
Arthritis,Muscle Weakness,Ondansetron
Multiple Sclerosis,Swelling,Azithromycin
Ulcerative Colitis,Shortness of breath,Ranitidine
Osteoporosis,Nausea,Sildenafil
Multiple Sclerosis,High Blood Pressure,Metformin
Psoriasis,Fatigue,Loperamide
Allergy,High Blood Pressure,Sildenafil
Whooping Cough,Red Eyes,Cetirizine
Ulcerative Colitis,Fatigue,Propranolol
COVID-19,Cough,Losartan
Diabetes,Runny Nose,Paracetamol
Common Cold,Muscle Weakness,Ibuprofen
COVID-19,Numbness,Paracetamol
Fungal Infection,Swelling,Sumatriptan
Influenza,Abdominal Pain,Hydrocortisone
Arthritis,Vomiting,Rifampin
Epilepsy,Fatigue,Paracetamol
Glaucoma,Vomiting,Azithromycin
Urinary Tract Infection,Cough,Adalimumab
Vertigo,Numbness,Terbinafine
Allergy,Nausea,Ranitidine
Whooping Cough,Fever,Doxycycline
Multiple Sclerosis,Dizziness,Azithromycin
Lung Cancer,Nausea,Ranitidine
Diabetes,Fever,Chloroquine
Epilepsy,Swelling,Prednisone
Chronic Kidney Disease,Rapid Heartbeat,Aspirin
Typhoid,Dizziness,Chloroquine
Psoriasis,Ear Pain,Azithromycin
Arthritis,Headache,Topiramate
Urinary Tract Infection,Tremors,Hydrocortisone
Migraine,Joint Pain,Chloroquine
Zika Virus,Fever,Ibuprofen
Sinusitis,Cough,Topiramate
Malaria,Chest Pain,Loperamide
Common Cold,Red Eyes,Omeprazole
Common Cold,Red Eyes,Doxycycline
Urinary Tract Infection,Rapid Heartbeat,Hydrocortisone
Hypertension,Joint Pain,Doxycycline
Chronic Kidney Disease,Runny Nose,Terbinafine
Osteoporosis,Fatigue,Ranitidine
Jaundice,Weight Loss,Levothyroxine
Hypertension,Back Pain,Adalimumab
Acne,Dizziness,Calamine Lotion
Acne,Shortness of breath,Budesonide
Hepatitis,Abdominal Pain,Adalimumab
Acne,Sore Throat,Ranitidine
Glaucoma,Headache,Amoxicillin
Typhoid,Fever,Amoxicillin
Pneumonia,Muscle Weakness,Ranitidine
Dengue,Fatigue,Loratadine
Hypertension,Vomiting,Cetirizine
Chronic Kidney Disease,Shortness of breath,Terbinafine
Multiple Sclerosis,Sore Throat,Aspirin
Heart Disease,Fever,Doxycycline
Zika Virus,Muscle Weakness,Topiramate
Common Cold,Fever,Budesonide
Vertigo,Weight Loss,Sildenafil
Vertigo,Blurred Vision,Aspirin
Tuberculosis,Swelling,Losartan
Dengue,Cough,Levothyroxine
Asthma,Tremors,Adalimumab
Typhoid,Skin Rash,Sumatriptan
Pneumonia,Weight Loss,Calamine Lotion
Arthritis,Tremors,Terbinafine
Zika Virus,Sore Throat,Metformin
Osteoporosis,Ear Pain,Doxycycline
Bronchitis,Runny Nose,Topiramate
Zika Virus,Fever,Doxycycline
Peptic Ulcer,Chest Pain,Hydrocortisone
COVID-19,Weight Loss,Rifampin
Multiple Sclerosis,Muscle Weakness,Loperamide
Typhoid,Vomiting,Hydrocortisone
Peptic Ulcer,Fatigue,Ondansetron
Peptic Ulcer,Muscle Weakness,Doxycycline
Gastroenteritis,Vomiting,Cetirizine
Multiple Sclerosis,Headache,Ciprofloxacin
Epilepsy,Fever,Azithromycin
Pneumonia,Tremors,Azithromycin
Multiple Sclerosis,Loss of Appetite,Ranitidine
Peptic Ulcer,Sore Throat,Budesonide
Bronchitis,Sore Throat,Omeprazole
Chickenpox,Nausea,Metformin
Gastroenteritis,Headache,Ciprofloxacin
Asthma,Numbness,Omeprazole
Influenza,Muscle Weakness,Ciprofloxacin
Gastroenteritis,Diarrhea,Aspirin
Peptic Ulcer,Muscle Weakness,Budesonide
Peptic Ulcer,Joint Pain,Levothyroxine
Sinusitis,Back Pain,Azithromycin
Lung Cancer,Vomiting,Budesonide
Asthma,Fever,Cetirizine
Psoriasis,Night Sweats,Cetirizine
Eczema,Muscle Weakness,Sumatriptan
Bronchitis,Back Pain,Paracetamol
Tuberculosis,Shortness of breath,Topiramate
Gastroenteritis,Rapid Heartbeat,Aspirin
Hypertension,Skin Rash,Cetirizine
Zika Virus,Rapid Heartbeat,Omeprazole
Common Cold,Fatigue,Calamine Lotion
Sinusitis,Tremors,Loperamide
Dengue,Swelling,Hydrocortisone
Zika Virus,Fever,Topiramate
Eczema,Vomiting,Ibuprofen
Dengue,Ear Pain,Paracetamol
Tuberculosis,Skin Rash,Budesonide
Fungal Infection,Skin Rash,Prednisone
Gastroenteritis,Tremors,Cetirizine
COVID-19,Dizziness,Ciprofloxacin
Lung Cancer,Itching,Prednisone
Influenza,Joint Pain,Cetirizine
Glaucoma,Swelling,Cetirizine
COVID-19,Weight Loss,Losartan
Typhoid,Red Eyes,Adalimumab
Epilepsy,Runny Nose,Topiramate
COVID-19,Dizziness,Metformin
Hepatitis,Swelling,Sildenafil
Osteoporosis,Fever,Azithromycin
Chronic Kidney Disease,Blurred Vision,Loratadine
Jaundice,Muscle Weakness,Azithromycin
Epilepsy,Red Eyes,Amoxicillin
Acne,High Blood Pressure,Sumatriptan
Arthritis,Back Pain,Rifampin
Acne,Back Pain,Glibenclamide
Malaria,Loss of Appetite,Omeprazole
Hepatitis,Sore Throat,Prednisone
Gastroenteritis,Tremors,Prednisone
Diabetes,Vomiting,Ibuprofen
Acne,Tremors,Losartan
Arthritis,Shortness of breath,Ibuprofen
Lung Cancer,Shortness of breath,Loperamide
Gastroenteritis,Muscle Weakness,Ondansetron
Zika Virus,Red Eyes,Hydrocortisone
Osteoporosis,Back Pain,Chloroquine
Migraine,Sore Throat,Prednisone
Urinary Tract Infection,Night Sweats,Loperamide
Vertigo,Nausea,Ciprofloxacin
Bronchitis,Headache,Paracetamol
Bronchitis,Back Pain,Levothyroxine
Migraine,Numbness,Prednisone
Multiple Sclerosis,Weight Loss,Rifampin
Migraine,Rapid Heartbeat,Isoniazid
Lung Cancer,Loss of Appetite,Aspirin
Migraine,Diarrhea,Metformin
Sinusitis,Weight Loss,Levothyroxine
Epilepsy,Runny Nose,Amoxicillin
Malaria,Rapid Heartbeat,Losartan
Gastroenteritis,Dizziness,Prednisone
Arthritis,Dizziness,Ibuprofen
Arthritis,Swollen Lymph Nodes,Adalimumab
Influenza,Abdominal Pain,Loratadine
Whooping Cough,Swollen Lymph Nodes,Sumatriptan
Fungal Infection,Itching,Losartan
COVID-19,Night Sweats,Propranolol
Pneumonia,Cough,Omeprazole
Fungal Infection,Sore Throat,Sildenafil
Glaucoma,Back Pain,Ciprofloxacin
Lung Cancer,Rapid Heartbeat,Loperamide
Pneumonia,Muscle Weakness,Aspirin
Chickenpox,Dizziness,Ciprofloxacin
Vertigo,Diarrhea,Amoxicillin
Ulcerative Colitis,Chest Pain,Cetirizine
Dengue,Back Pain,Cetirizine
Hypertension,Loss of Appetite,Propranolol
Dengue,Swollen Lymph Nodes,Prednisone
Hypertension,Red Eyes,Levothyroxine
Asthma,Shortness of breath,Topiramate
Typhoid,Rapid Heartbeat,Rifampin
Arthritis,Headache,Doxycycline
Tuberculosis,Weight Loss,Adalimumab
Fungal Infection,Diarrhea,Ondansetron
Urinary Tract Infection,Tremors,Ibuprofen
Fungal Infection,Back Pain,Metformin
COVID-19,Ear Pain,Hydrocortisone
Typhoid,Fever,Budesonide
Glaucoma,Night Sweats,Loratadine
Arthritis,Loss of Appetite,Isoniazid
Bronchitis,Back Pain,Metformin
Jaundice,Ear Pain,Doxycycline
Sinusitis,Itching,Sumatriptan
Multiple Sclerosis,Fever,Cetirizine
Diabetes,Sore Throat,Omeprazole
Bronchitis,Headache,Aspirin
Lung Cancer,Vomiting,Rifampin
Psoriasis,Swollen Lymph Nodes,Topiramate
Chickenpox,Joint Pain,Aspirin
Urinary Tract Infection,Sore Throat,Calamine Lotion
Dengue,Night Sweats,Prednisone
Pneumonia,Numbness,Sumatriptan
Eczema,Shortness of breath,Hydrocortisone
Chickenpox,Diarrhea,Propranolol
Whooping Cough,Joint Pain,Calamine Lotion
Dengue,Swelling,Loperamide
Peptic Ulcer,Dizziness,Azithromycin
Acne,Runny Nose,Azithromycin
Multiple Sclerosis,Shortness of breath,Prednisone
Pneumonia,Joint Pain,Cetirizine
Osteoporosis,Night Sweats,Glibenclamide
Gastroenteritis,Sore Throat,Glibenclamide
Vertigo,Swollen Lymph Nodes,Ondansetron
Chickenpox,Loss of Appetite,Levothyroxine
Sinusitis,Nausea,Glibenclamide
Ulcerative Colitis,Tremors,Paracetamol
Multiple Sclerosis,Loss of Appetite,Metformin
Tuberculosis,Fatigue,Loratadine
Psoriasis,Ear Pain,Ranitidine
Chronic Kidney Disease,Nausea,Glibenclamide
Typhoid,High Blood Pressure,Loratadine
Glaucoma,Fatigue,Propranolol
Eczema,Swelling,Azithromycin
Dengue,Sore Throat,Cetirizine
Epilepsy,Loss of Appetite,Aspirin
Vertigo,Swelling,Aspirin
Arthritis,Itching,Paracetamol
Dengue,Abdominal Pain,Loratadine
Hypertension,Loss of Appetite,Doxycycline
Tuberculosis,Rapid Heartbeat,Loratadine
Glaucoma,Loss of Appetite,Budesonide
Epilepsy,Runny Nose,Sumatriptan
Influenza,Muscle Weakness,Ciprofloxacin
Acne,Weight Loss,Calamine Lotion
Influenza,Back Pain,Omeprazole
Sinusitis,Dizziness,Doxycycline
Sinusitis,Tremors,Doxycycline
Tuberculosis,Joint Pain,Loratadine
Malaria,Chest Pain,Sumatriptan
Jaundice,Weight Loss,Glibenclamide
Epilepsy,Fatigue,Budesonide
Tuberculosis,Tremors,Metformin
Fungal Infection,Vomiting,Loperamide
Dengue,Nausea,Levothyroxine
Sinusitis,Runny Nose,Losartan
Peptic Ulcer,Shortness of breath,Topiramate
Peptic Ulcer,Blurred Vision,Hydrocortisone
Multiple Sclerosis,Cough,Ciprofloxacin
Fungal Infection,Sore Throat,Omeprazole
Acne,Cough,Terbinafine
Influenza,Sore Throat,Cetirizine
Pneumonia,Cough,Sumatriptan
Malaria,Joint Pain,Propranolol
Influenza,Itching,Isoniazid
Eczema,Fatigue,Aspirin
Peptic Ulcer,Ear Pain,Propranolol
Urinary Tract Infection,Loss of Appetite,Hydrocortisone
Asthma,Cough,Ranitidine
Eczema,Ear Pain,Losartan
Eczema,Headache,Propranolol
Typhoid,Weight Loss,Omeprazole
Multiple Sclerosis,Swollen Lymph Nodes,Loratadine
Chronic Kidney Disease,Cough,Chloroquine
Asthma,Cough,Azithromycin
Influenza,Night Sweats,Amoxicillin
Asthma,High Blood Pressure,Chloroquine
Asthma,Skin Rash,Sildenafil
Heart Disease,Loss of Appetite,Rifampin
Fungal Infection,Cough,Amoxicillin
Chronic Kidney Disease,Tremors,Hydrocortisone
Dengue,Itching,Isoniazid
Asthma,Dizziness,Omeprazole
Tuberculosis,Vomiting,Isoniazid
Common Cold,Back Pain,Sumatriptan
COVID-19,Abdominal Pain,Ibuprofen
Acne,Tremors,Ondansetron
Glaucoma,Numbness,Ibuprofen
Chronic Kidney Disease,Vomiting,Cetirizine
Heart Disease,Dizziness,Ondansetron
Urinary Tract Infection,Skin Rash,Losartan
Bronchitis,Back Pain,Hydrocortisone
Bronchitis,Cough,Aspirin
Gastroenteritis,Blurred Vision,Doxycycline
Pneumonia,Ear Pain,Terbinafine
Ulcerative Colitis,Abdominal Pain,Omeprazole
Typhoid,Dizziness,Ibuprofen
Osteoporosis,Nausea,Topiramate
Vertigo,Night Sweats,Propranolol
Influenza,Fatigue,Isoniazid
Gastroenteritis,Night Sweats,Amoxicillin
Dengue,Skin Rash,Rifampin
Ulcerative Colitis,Chest Pain,Calamine Lotion
Osteoporosis,Tremors,Loratadine
Psoriasis,Tremors,Loratadine
Peptic Ulcer,Fatigue,Omeprazole
Eczema,Diarrhea,Cetirizine
Peptic Ulcer,Chest Pain,Glibenclamide
Glaucoma,Weight Loss,Metformin
Acne,Red Eyes,Ondansetron
Lung Cancer,Back Pain,Omeprazole
Asthma,Rapid Heartbeat,Ondansetron
Zika Virus,Fatigue,Ibuprofen
COVID-19,Vomiting,Chloroquine
Acne,Sore Throat,Amoxicillin
Zika Virus,Nausea,Chloroquine
Multiple Sclerosis,Tremors,Prednisone
Gastroenteritis,Nausea,Cetirizine
Diabetes,High Blood Pressure,Hydrocortisone
Tuberculosis,Back Pain,Ibuprofen
Chickenpox,Shortness of breath,Ibuprofen
Vertigo,Runny Nose,Aspirin
Vertigo,Cough,Chloroquine
Typhoid,Headache,Terbinafine
Lung Cancer,Shortness of breath,Adalimumab
Hypertension,High Blood Pressure,Amoxicillin
Influenza,Cough,Propranolol
Osteoporosis,High Blood Pressure,Adalimumab
Tuberculosis,Joint Pain,Ondansetron
Influenza,Weight Loss,Loratadine
Chickenpox,Rapid Heartbeat,Paracetamol
Chronic Kidney Disease,Numbness,Chloroquine
Asthma,Numbness,Ranitidine
Bronchitis,Tremors,Paracetamol
Acne,Ear Pain,Cetirizine
Bronchitis,Swollen Lymph Nodes,Topiramate
Gastroenteritis,Nausea,Losartan
Whooping Cough,Swelling,Budesonide
Whooping Cough,Dizziness,Omeprazole
Multiple Sclerosis,Loss of Appetite,Paracetamol
Influenza,Tremors,Rifampin
Migraine,Fatigue,Calamine Lotion
Eczema,Back Pain,Ibuprofen
Bronchitis,Cough,Adalimumab
COVID-19,Itching,Sildenafil
Heart Disease,Shortness of breath,Losartan
Zika Virus,Loss of Appetite,Amoxicillin
Tuberculosis,Night Sweats,Ibuprofen
Sinusitis,Skin Rash,Doxycycline
Heart Disease,Joint Pain,Terbinafine
Pneumonia,Back Pain,Calamine Lotion
Common Cold,Cough,Prednisone
Typhoid,Blurred Vision,Sumatriptan
Vertigo,Red Eyes,Sildenafil
Common Cold,Weight Loss,Cetirizine
Tuberculosis,Weight Loss,Loperamide
Psoriasis,Muscle Weakness,Terbinafine
Acne,Joint Pain,Ibuprofen
Chickenpox,Abdominal Pain,Topiramate
Lung Cancer,Chest Pain,Sildenafil
Fungal Infection,Cough,Metformin
Urinary Tract Infection,Cough,Glibenclamide
Whooping Cough,Sore Throat,Topiramate
Malaria,Fatigue,Cetirizine
Psoriasis,Shortness of breath,Adalimumab
Pneumonia,Fever,Prednisone
Influenza,Muscle Weakness,Sildenafil
Sinusitis,Abdominal Pain,Calamine Lotion
Ulcerative Colitis,Red Eyes,Calamine Lotion
Typhoid,Chest Pain,Azithromycin
Influenza,Swelling,Sumatriptan
Heart Disease,Rapid Heartbeat,Loperamide
Psoriasis,Chest Pain,Chloroquine
Psoriasis,Night Sweats,Propranolol
Bronchitis,Rapid Heartbeat,Ciprofloxacin
Epilepsy,Tremors,Doxycycline
Tuberculosis,Diarrhea,Prednisone
Fungal Infection,Dizziness,Metformin
Gastroenteritis,Numbness,Omeprazole
Hepatitis,Shortness of breath,Topiramate
Zika Virus,Ear Pain,Rifampin
Urinary Tract Infection,Back Pain,Terbinafine
Influenza,Loss of Appetite,Doxycycline
Allergy,Loss of Appetite,Azithromycin
Whooping Cough,Dizziness,Losartan
Asthma,Diarrhea,Sumatriptan
Common Cold,Itching,Adalimumab
Gastroenteritis,Shortness of breath,Ranitidine
Fungal Infection,Skin Rash,Levothyroxine
Sinusitis,Chest Pain,Ranitidine
Bronchitis,Shortness of breath,Omeprazole
Glaucoma,Loss of Appetite,Propranolol
Sinusitis,Weight Loss,Aspirin
Vertigo,Cough,Adalimumab
Diabetes,Rapid Heartbeat,Ranitidine
Ulcerative Colitis,Weight Loss,Omeprazole
Acne,Dizziness,Sumatriptan
Multiple Sclerosis,Fever,Loperamide
Glaucoma,Vomiting,Loratadine
Common Cold,Runny Nose,Aspirin
Jaundice,Shortness of breath,Topiramate
Hepatitis,Red Eyes,Chloroquine
Migraine,Sore Throat,Losartan
Zika Virus,Ear Pain,Glibenclamide
Glaucoma,Shortness of breath,Calamine Lotion
COVID-19,Cough,Azithromycin
Typhoid,Chest Pain,Omeprazole
Ulcerative Colitis,Cough,Ranitidine
Glaucoma,Joint Pain,Chloroquine
Urinary Tract Infection,High Blood Pressure,Loperamide
Gastroenteritis,Dizziness,Isoniazid
Chronic Kidney Disease,Night Sweats,Ibuprofen
Chickenpox,Swollen Lymph Nodes,Metformin
Gastroenteritis,Back Pain,Budesonide
Asthma,Fatigue,Amoxicillin
Malaria,Shortness of breath,Paracetamol
Asthma,Joint Pain,Prednisone
Ulcerative Colitis,Abdominal Pain,Adalimumab
Arthritis,Numbness,Sildenafil
Hepatitis,Headache,Sildenafil
Influenza,Rapid Heartbeat,Terbinafine
Multiple Sclerosis,Shortness of breath,Paracetamol
Chickenpox,Fever,Isoniazid
Fungal Infection,Weight Loss,Terbinafine
Influenza,Sore Throat,Budesonide
Multiple Sclerosis,Chest Pain,Loperamide
Chronic Kidney Disease,Red Eyes,Budesonide
Gastroenteritis,Weight Loss,Propranolol
Chronic Kidney Disease,Numbness,Losartan
Hypertension,Dizziness,Metformin
Asthma,Red Eyes,Omeprazole
Peptic Ulcer,Abdominal Pain,Cetirizine
Arthritis,Diarrhea,Doxycycline
Diabetes,Headache,Doxycycline
Epilepsy,Abdominal Pain,Omeprazole
Whooping Cough,Numbness,Sumatriptan
Common Cold,Blurred Vision,Chloroquine
Influenza,Rapid Heartbeat,Aspirin
Bronchitis,Rapid Heartbeat,Ciprofloxacin
Vertigo,Vomiting,Aspirin
Hypertension,Headache,Levothyroxine
Diabetes,Weight Loss,Sildenafil
Tuberculosis,Muscle Weakness,Prednisone
Chronic Kidney Disease,Abdominal Pain,Sumatriptan
Allergy,Back Pain,Loperamide
Diabetes,Loss of Appetite,Terbinafine
Eczema,Rapid Heartbeat,Amoxicillin
Sinusitis,Itching,Ibuprofen
Diabetes,Abdominal Pain,Chloroquine
Glaucoma,Weight Loss,Cetirizine
Osteoporosis,Night Sweats,Ibuprofen
Whooping Cough,Nausea,Budesonide
Lung Cancer,Vomiting,Omeprazole
Arthritis,Muscle Weakness,Ciprofloxacin
Vertigo,Headache,Adalimumab
Glaucoma,Fever,Hydrocortisone
Multiple Sclerosis,Dizziness,Aspirin
Fungal Infection,Weight Loss,Hydrocortisone
Gastroenteritis,Joint Pain,Prednisone
Urinary Tract Infection,Weight Loss,Chloroquine
Chickenpox,Numbness,Ondansetron
Allergy,Diarrhea,Ciprofloxacin
Influenza,Weight Loss,Ciprofloxacin
Glaucoma,Ear Pain,Terbinafine
Pneumonia,Numbness,Aspirin
Acne,Dizziness,Amoxicillin
Chronic Kidney Disease,Weight Loss,Ondansetron
COVID-19,Back Pain,Sumatriptan
Influenza,Red Eyes,Glibenclamide
Fungal Infection,Headache,Loratadine
Allergy,Diarrhea,Azithromycin
Common Cold,Joint Pain,Losartan
Bronchitis,Rapid Heartbeat,Sildenafil
Eczema,Nausea,Ibuprofen
Dengue,Tremors,Azithromycin
Diabetes,Itching,Levothyroxine
Hepatitis,Blurred Vision,Prednisone
Common Cold,Shortness of breath,Paracetamol
Tuberculosis,Itching,Loratadine
Heart Disease,Joint Pain,Paracetamol
Chickenpox,Itching,Loratadine
Malaria,Tremors,Topiramate
Fungal Infection,Nausea,Rifampin
Typhoid,Ear Pain,Doxycycline
Typhoid,Joint Pain,Omeprazole
Lung Cancer,Abdominal Pain,Doxycycline
Influenza,Joint Pain,Loperamide
Urinary Tract Infection,Muscle Weakness,Glibenclamide
Glaucoma,Sore Throat,Losartan
Zika Virus,Skin Rash,Loratadine
Lung Cancer,Nausea,Adalimumab
Whooping Cough,Swelling,Aspirin
Allergy,Fever,Paracetamol
Common Cold,Weight Loss,Isoniazid
Lung Cancer,Ear Pain,Sumatriptan
Chickenpox,Dizziness,Ranitidine
Vertigo,Numbness,Calamine Lotion
Vertigo,Shortness of breath,Losartan
Multiple Sclerosis,Ear Pain,Loratadine
Vertigo,Ear Pain,Glibenclamide
Whooping Cough,Diarrhea,Loratadine
Arthritis,Abdominal Pain,Paracetamol
Ulcerative Colitis,Sore Throat,Aspirin
Influenza,Ear Pain,Calamine Lotion
Asthma,Ear Pain,Loperamide
Sinusitis,Nausea,Doxycycline
Glaucoma,Weight Loss,Doxycycline
Asthma,Skin Rash,Calamine Lotion
Urinary Tract Infection,Blurred Vision,Glibenclamide
Osteoporosis,Loss of Appetite,Sumatriptan
Dengue,Dizziness,Azithromycin
Osteoporosis,Numbness,Ondansetron
Multiple Sclerosis,Night Sweats,Glibenclamide
Lung Cancer,Blurred Vision,Doxycycline
Jaundice,Sore Throat,Sumatriptan
Peptic Ulcer,Vomiting,Paracetamol
Sinusitis,Back Pain,Ciprofloxacin
Vertigo,Runny Nose,Ondansetron
Chronic Kidney Disease,Red Eyes,Sumatriptan
Vertigo,Swollen Lymph Nodes,Omeprazole
Sinusitis,Cough,Prednisone
Chickenpox,Loss of Appetite,Rifampin
Diabetes,Abdominal Pain,Adalimumab
Influenza,Runny Nose,Topiramate
Fungal Infection,Swollen Lymph Nodes,Calamine Lotion
